,Series Code,Series Name
174,SL.TLF.0714.WK.ZS,"Children in employment, work only (% of children in employment, ages 7-14)"
175,SL.TLF.0714.WK.FE.ZS,"Children in employment, work only, female (% of female children in employment, ages 7-14)"
176,SL.TLF.0714.WK.MA.ZS,"Children in employment, work only, male (% of male children in employment, ages 7-14)"
177,SE.PRM.UNER.ZS,Children out of school (% of primary school age)
178,SE.PRM.UNER.FE.ZS,"Children out of school, female (% of female primary school age)"
179,SE.PRM.UNER.MA.ZS,"Children out of school, male (% of male primary school age)"
180,SE.PRM.UNER,"Children out of school, primary"
181,SE.PRM.UNER.FE,"Children out of school, primary, female"
182,SE.PRM.UNER.MA,"Children out of school, primary, male"
183,SH.MLR.TRET.ZS,Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
184,FM.AST.CGOV.ZG.M3,Claims on central government (annual growth as % of broad money)
185,FS.AST.CGOV.GD.ZS,"Claims on central government, etc. (% GDP)"
186,FS.AST.DOMO.GD.ZS,Claims on other sectors of the domestic economy (% of GDP)
187,FM.AST.DOMO.ZG.M3,Claims on other sectors of the domestic economy (annual growth as % of broad money)
188,FM.AST.PRVT.ZG.M3,Claims on private sector (annual growth as % of broad money)
189,EN.ATM.CO2E.KD.GD,CO2 emissions (kg per 2015 US$ of GDP)
190,EN.ATM.CO2E.PP.GD.KD,CO2 emissions (kg per 2021 PPP $ of GDP)
191,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP)
192,EN.ATM.CO2E.KT,CO2 emissions (kt)
193,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita)
194,EN.CO2.ETOT.ZS,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)"
195,EN.ATM.CO2E.GF.ZS,CO2 emissions from gaseous fuel consumption (% of total)
196,EN.ATM.CO2E.GF.KT,CO2 emissions from gaseous fuel consumption (kt)
197,EN.ATM.CO2E.LF.ZS,CO2 emissions from liquid fuel consumption (% of total)
198,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt)
199,EN.CO2.MANF.ZS,CO2 emissions from manufacturing industries and construction (% of total fuel combustion)
200,EN.CO2.OTHX.ZS,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)"
201,EN.CO2.BLDG.ZS,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)
202,EN.ATM.CO2E.SF.ZS,CO2 emissions from solid fuel consumption (% of total)
203,EN.ATM.CO2E.SF.KT,CO2 emissions from solid fuel consumption (kt)
204,EN.CO2.TRAN.ZS,CO2 emissions from transport (% of total fuel combustion)
205,EN.ATM.CO2E.EG.ZS,CO2 intensity (kg per kg of oil equivalent energy use)
206,NY.GDP.COAL.RT.ZS,Coal rents (% of GDP)
207,EG.USE.CRNW.ZS,Combustible renewables and waste (% of total energy)
208,FB.CBK.BRCH.P5,"Commercial bank branches (per 100,000 adults)"
209,DT.NFL.PCBO.CD,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
210,TX.VAL.SERV.CD.WT,Commercial service exports (current US$)
211,TM.VAL.SERV.CD.WT,Commercial service imports (current US$)
212,BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)"
213,BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)"
214,SH.MED.CMHW.P3,"Community health workers (per 1,000 people)"
215,GC.XPN.COMP.ZS,Compensation of employees (% of expense)
216,GC.XPN.COMP.CN,Compensation of employees (current LCU)
217,SP.REG.BRTH.ZS,Completeness of birth registration (%)
218,SP.REG.BRTH.FE.ZS,"Completeness of birth registration, female (%)"
219,SP.REG.BRTH.MA.ZS,"Completeness of birth registration, male (%)"
220,SP.REG.BRTH.RU.ZS,"Completeness of birth registration, rural (%)"
221,SP.REG.BRTH.UR.ZS,"Completeness of birth registration, urban (%)"
222,SP.REG.DTHS.ZS,Completeness of death registration with cause-of-death information (%)
223,SE.COM.DURS,"Compulsory education, duration (years)"
224,TX.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service exports)"
225,TM.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service imports)"
226,SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)"
227,SH.CON.1524.MA.ZS,"Condom use, population ages 15-24, male (% of males ages 15-24)"
228,FP.CPI.TOTL,Consumer price index (2010 = 100)
229,SN.ITK.SALT.ZS,Consumption of iodized salt (% of households)
230,IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units)
231,SP.DYN.CONU.ZS,"Contraceptive prevalence, any method (% of married women ages 15-49)"
232,SP.DYN.CONM.ZS,"Contraceptive prevalence, any modern method (% of married women ages 15-49)"
233,SL.FAM.WORK.FE.ZS,"Contributing family workers, female (% of female employment) (modeled ILO estimate)"
234,SL.FAM.WORK.MA.ZS,"Contributing family workers, male (% of male employment) (modeled ILO estimate)"
235,SL.FAM.WORK.ZS,"Contributing family workers, total (% of total employment) (modeled ILO estimate)"
236,CC.EST,Control of Corruption: Estimate
237,CC.NO.SRC,Control of Corruption: Number of Sources
238,CC.PER.RNK,Control of Corruption: Percentile Rank
239,CC.PER.RNK.LOWER,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval"
240,CC.PER.RNK.UPPER,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval"
241,CC.STD.ERR,Control of Corruption: Standard Error
242,IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita)
243,IC.REG.COST.PC.FE.ZS,"Cost of business start-up procedures, female (% of GNI per capita)"
244,IC.REG.COST.PC.MA.ZS,"Cost of business start-up procedures, male (% of GNI per capita)"
245,IC.EXP.CSBC.CD,"Cost to export, border compliance (US$)"
246,IC.EXP.CSDC.CD,"Cost to export, documentary compliance (US$)"
247,IC.IMP.CSBC.CD,"Cost to import, border compliance (US$)"
248,IC.IMP.CSDC.CD,"Cost to import, documentary compliance (US$)"
249,per_si_allsi.cov_pop_tot,Coverage of social insurance programs (% of population)
250,per_si_allsi.cov_q2_tot,Coverage of social insurance programs in 2nd quintile (% of population)
251,per_si_allsi.cov_q3_tot,Coverage of social insurance programs in 3rd quintile (% of population)
252,per_si_allsi.cov_q4_tot,Coverage of social insurance programs in 4th quintile (% of population)
253,per_si_allsi.cov_q1_tot,Coverage of social insurance programs in poorest quintile (% of population)
254,per_si_allsi.cov_q5_tot,Coverage of social insurance programs in richest quintile (% of population)
255,per_allsp.cov_pop_tot,Coverage of social protection and labor programs (% of population)
256,per_sa_allsa.cov_pop_tot,Coverage of social safety net programs (% of population)
257,per_sa_allsa.cov_q2_tot,Coverage of social safety net programs in 2nd quintile (% of population)
258,per_sa_allsa.cov_q3_tot,Coverage of social safety net programs in 3rd quintile (% of population)
259,per_sa_allsa.cov_q4_tot,Coverage of social safety net programs in 4th quintile (% of population)
260,per_sa_allsa.cov_q1_tot,Coverage of social safety net programs in poorest quintile (% of population)
261,per_sa_allsa.cov_q5_tot,Coverage of social safety net programs in richest quintile (% of population)
262,per_lm_alllm.cov_pop_tot,Coverage of unemployment benefits and ALMP (% of population)
263,per_lm_alllm.cov_q2_tot,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)
264,per_lm_alllm.cov_q3_tot,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)
265,per_lm_alllm.cov_q4_tot,Coverage of unemployment benefits and ALMP in 4th quintile (% of population)
266,per_lm_alllm.cov_q1_tot,Coverage of unemployment benefits and ALMP in poorest quintile (% of population)
267,per_lm_alllm.cov_q5_tot,Coverage of unemployment benefits and ALMP in richest quintile (% of population)
268,IQ.CPA.HRES.XQ,CPIA building human resources rating (1=low to 6=high)
269,IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high)
270,IQ.CPA.DEBT.XQ,CPIA debt policy rating (1=low to 6=high)
271,IQ.CPA.ECON.XQ,CPIA economic management cluster average (1=low to 6=high)
272,IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating (1=low to 6=high)
273,IQ.CPA.PRES.XQ,CPIA equity of public resource use rating (1=low to 6=high)
274,IQ.CPA.FINS.XQ,CPIA financial sector rating (1=low to 6=high)
275,IQ.CPA.FISP.XQ,CPIA fiscal policy rating (1=low to 6=high)
276,IQ.CPA.GNDR.XQ,CPIA gender equality rating (1=low to 6=high)
277,IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high)
278,IQ.CPA.SOCI.XQ,CPIA policies for social inclusion/equity cluster average (1=low to 6=high)
279,IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)
280,IQ.CPA.PROP.XQ,CPIA property rights and rule-based governance rating (1=low to 6=high)
281,IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high)
282,IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high)
283,IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high)
284,IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high)
285,IQ.CPA.STRC.XQ,CPIA structural policies cluster average (1=low to 6=high)
286,IQ.CPA.TRAD.XQ,CPIA trade rating (1=low to 6=high)
287,IQ.CPA.TRAN.XQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"
288,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100)
289,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP)
290,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)"
291,SE.XPD.CPRM.ZS,"Current education expenditure, primary (% of total expenditure in primary public institutions)"
292,SE.XPD.CSEC.ZS,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
293,SE.XPD.CTER.ZS,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
294,SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)"
295,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP)
296,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$)
297,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)"
298,GC.TAX.IMPT.ZS,Customs and other import duties (% of tax revenue)
299,GC.TAX.IMPT.CN,Customs and other import duties (current LCU)
300,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
301,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)"
302,DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)"
303,DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)"
304,PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$)
305,SH.FPL.SATM.ZS,Demand for family planning satisfied by modern methods (% of married women with demand for family planning)
306,FR.INR.DPST,Deposit interest rate (%)
307,FB.CBK.DPTR.P3,"Depositors with commercial banks (per 1,000 adults)"
308,IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high)
309,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79)
310,SH.STA.ORCF.ZS,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)
311,SH.STA.ORTH,Diarrhea treatment (% of children under 5 who received ORS packet)
312,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best)
313,NY.GDP.DISC.KN,Discrepancy in expenditure estimate of GDP (constant LCU)
314,NY.GDP.DISC.CN,Discrepancy in expenditure estimate of GDP (current LCU)
315,FS.AST.DOMS.GD.ZS,Domestic credit provided by financial sector (% of GDP)
316,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP)
317,FD.AST.PRVT.GD.ZS,Domestic credit to private sector by banks (% of GDP)
318,SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure)
319,SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP)
320,SH.XPD.GHED.GE.ZS,Domestic general government health expenditure (% of general government expenditure)
321,SH.XPD.GHED.PC.CD,Domestic general government health expenditure per capita (current US$)
322,SH.XPD.GHED.PP.CD,"Domestic general government health expenditure per capita, PPP (current international $)"
323,SH.XPD.PVTD.CH.ZS,Domestic private health expenditure (% of current health expenditure)
324,SH.XPD.PVTD.PC.CD,Domestic private health expenditure per capita (current US$)
325,SH.XPD.PVTD.PP.CD,"Domestic private health expenditure per capita, PPP (current international $)"
326,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)"
327,IC.BUS.EASE.XQ,Ease of doing business rank (1=most business-friendly regulations)
328,IC.BUS.DFRN.XQ,Ease of doing business score (0 = lowest performance to 100 = best performance)
329,SE.TER.CUAT.BA.FE.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
330,SE.TER.CUAT.BA.MA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
331,SE.TER.CUAT.BA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
