,Series Code,Series Name
188,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)"
189,NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)"
190,SL.GDP.PCAP.EM.KD,GDP per person employed (constant 2021 PPP $)
191,NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2021 international $)"
192,NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)"
193,NY.GDP.MKTP.CN.AD,GDP: linked series (current LCU)
194,NY.GNP.MKTP.CN,GNI (current LCU)
195,NY.GNP.MKTP.CD,GNI (current US$)
196,NY.GNP.PCAP.CN,GNI per capita (current LCU)
197,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)"
198,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)"
199,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)"
200,NY.GNP.MKTP.PP.CD,"GNI, PPP (current international $)"
201,NY.GNP.MKTP.CN.AD,GNI: linked series (current LCU)
202,BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)"
203,BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)"
204,GE.EST,Government Effectiveness: Estimate
205,GE.NO.SRC,Government Effectiveness: Number of Sources
206,GE.PER.RNK,Government Effectiveness: Percentile Rank
207,GE.PER.RNK.LOWER,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval"
208,GE.PER.RNK.UPPER,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval"
209,GE.STD.ERR,Government Effectiveness: Standard Error
210,BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)"
211,NY.GDP.FCST.KD,Gross value added at basic prices (GVA) (constant 2015 US$)
212,NY.GDP.FCST.KN,Gross value added at basic prices (GVA) (constant LCU)
213,NY.GDP.FCST.CN,Gross value added at basic prices (GVA) (current LCU)
214,NY.GDP.FCST.CD,Gross value added at basic prices (GVA) (current US$)
215,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports)
216,TX.VAL.TECH.CD,High-technology exports (current US$)
217,TX.VAL.ICTG.ZS.UN,ICT goods exports (% of total goods exports)
218,TM.VAL.ICTG.ZS.UN,ICT goods imports (% total goods imports)
219,BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)"
220,BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)"
221,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)"
222,SH.IMM.HEPB,"Immunization, HepB3 (% of one-year-old children)"
223,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)"
224,TM.UVI.MRCH.XD.WD,Import unit value index (2015 = 100)
225,TM.VAL.MRCH.XD.WD,Import value index (2015 = 100)
226,TM.QTY.MRCH.XD.WD,Import volume index (2015 = 100)
227,BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)"
228,BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)"
229,SH.HIV.INCD.YG.P3,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)"
230,SH.HIV.INCD.ZS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)"
231,SH.HIV.INCD.TL.P3,"Incidence of HIV, all (per 1,000 uninfected population)"
232,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)"
233,IT.NET.USER.ZS,Individuals using the Internet (% of population)
234,NV.IND.TOTL.ZS,"Industry (including construction), value added (% of GDP)"
235,NV.IND.TOTL.KD.ZG,"Industry (including construction), value added (annual % growth)"
236,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)"
237,NV.IND.TOTL.KN,"Industry (including construction), value added (constant LCU)"
238,NV.IND.TOTL.CN,"Industry (including construction), value added (current LCU)"
239,NV.IND.TOTL.CD,"Industry (including construction), value added (current US$)"
240,NV.IND.EMPL.KD,"Industry (including construction), value added per worker (constant 2015 US$)"
241,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)"
242,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)"
243,NY.GDP.DEFL.KD.ZG.AD,"Inflation, GDP deflator: linked series (annual %)"
244,TX.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service exports)
245,TM.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service imports)
246,BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)"
247,BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)"
248,VC.IHR.PSRC.P5,"Intentional homicides (per 100,000 people)"
249,VC.IDP.NWDS,"Internally displaced persons, new displacement associated with disasters (number of cases)"
250,ST.INT.XPND.MP.ZS,"International tourism, expenditures (% of total imports)"
251,ST.INT.XPND.CD,"International tourism, expenditures (current US$)"
252,ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items (current US$)"
253,ST.INT.TVLX.CD,"International tourism, expenditures for travel items (current US$)"
254,ST.INT.RCPT.XP.ZS,"International tourism, receipts (% of total exports)"
255,ST.INT.RCPT.CD,"International tourism, receipts (current US$)"
256,ST.INT.TRNR.CD,"International tourism, receipts for passenger transport items (current US$)"
257,ST.INT.TVLR.CD,"International tourism, receipts for travel items (current US$)"
258,SL.TLF.ACTI.1524.FE.ZS,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"
259,SL.TLF.ACTI.1524.MA.ZS,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"
260,SL.TLF.ACTI.1524.ZS,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"
261,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
262,SL.TLF.ACTI.FE.ZS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"
263,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
264,SL.TLF.ACTI.MA.ZS,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"
265,SL.TLF.CACT.ZS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"
266,SL.TLF.ACTI.ZS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
267,SL.TLF.TOTL.FE.ZS,"Labor force, female (% of total labor force)"
268,SL.TLF.TOTL.IN,"Labor force, total"
269,IC.TAX.LABR.CP.ZS,Labor tax and contributions (% of commercial profits)
270,AG.LND.TOTL.K2,Land area (sq. km)
271,AG.LND.CREL.HA,Land under cereal production (hectares)
272,ER.H2O.FWST.ZS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
273,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)"
274,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)"
275,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)"
276,SH.MMR.RISK.ZS,Lifetime risk of maternal death (%)
277,SH.MMR.RISK,Lifetime risk of maternal death (1 in: rate varies by country)
278,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100)
279,SE.SEC.CMPT.LO.FE.ZS,"Lower secondary completion rate, female (% of relevant age group)"
280,SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (% of relevant age group)"
281,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)"
282,SE.SEC.AGES,Lower secondary school starting age (years)
283,TX.VAL.MANF.ZS.UN,Manufactures exports (% of merchandise exports)
284,TM.VAL.MANF.ZS.UN,Manufactures imports (% of merchandise imports)
285,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)"
286,NV.IND.MANF.KD.ZG,"Manufacturing, value added (annual % growth)"
287,NV.IND.MANF.KD,"Manufacturing, value added (constant 2015 US$)"
288,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)"
289,NV.IND.MANF.CN,"Manufacturing, value added (current LCU)"
290,NV.IND.MANF.CD,"Manufacturing, value added (current US$)"
291,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
292,TX.MNF.TECH.ZS.UN,Medium and high-tech exports (% manufactured exports)
293,NV.MNF.TECH.ZS.UN,Medium and high-tech manufacturing value added (% manufacturing value added)
294,TX.VAL.MRCH.CD.WT,Merchandise exports (current US$)
295,TX.VAL.MRCH.WL.CD,Merchandise exports by the reporting economy (current US$)
296,TX.VAL.MRCH.RS.ZS,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"
297,TX.VAL.MRCH.AL.ZS,Merchandise exports to economies in the Arab World (% of total merchandise exports)
298,TX.VAL.MRCH.HI.ZS,Merchandise exports to high-income economies (% of total merchandise exports)
299,TX.VAL.MRCH.R1.ZS,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)
300,TX.VAL.MRCH.R2.ZS,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)
301,TX.VAL.MRCH.R4.ZS,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)
302,TX.VAL.MRCH.R5.ZS,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)
303,TX.VAL.MRCH.R6.ZS,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)
304,TX.VAL.MRCH.OR.ZS,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)
305,TX.VAL.MRCH.WR.ZS,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)
306,TM.VAL.MRCH.CD.WT,Merchandise imports (current US$)
307,TM.VAL.MRCH.WL.CD,Merchandise imports by the reporting economy (current US$)
308,TM.VAL.MRCH.RS.ZS,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"
309,TM.VAL.MRCH.AL.ZS,Merchandise imports from economies in the Arab World (% of total merchandise imports)
310,TM.VAL.MRCH.HI.ZS,Merchandise imports from high-income economies (% of total merchandise imports)
311,TM.VAL.MRCH.R1.ZS,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)
312,TM.VAL.MRCH.R2.ZS,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)
313,TM.VAL.MRCH.R3.ZS,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)
314,TM.VAL.MRCH.R4.ZS,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)
315,TM.VAL.MRCH.R5.ZS,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)
316,TM.VAL.MRCH.R6.ZS,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)
317,TM.VAL.MRCH.OR.ZS,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)
318,TM.VAL.MRCH.WR.ZS,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)
319,TG.VAL.TOTL.GD.ZS,Merchandise trade (% of GDP)
320,EN.ATM.METH.KT.CE,Methane emissions (kt of CO2 equivalent)
321,EN.ATM.METH.EG.KT.CE,Methane emissions in energy sector (thousand metric tons of CO2 equivalent)
322,IQ.SCI.MTHD,Methodology assessment of statistical capacity (scale 0 - 100)
323,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP)
324,MS.MIL.XPND.ZS,Military expenditure (% of general government expenditure)
325,MS.MIL.XPND.CN,Military expenditure (current LCU)
326,MS.MIL.XPND.CD,Military expenditure (current USD)
327,NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP)
328,IT.CEL.SETS,Mobile cellular subscriptions
329,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people)
330,FM.AST.PRVT.GD.ZS,Monetary Sector credit to private sector (% GDP)
331,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)"
332,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
333,SH.DYN.NCOM.FE.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)"
334,SH.DYN.NCOM.MA.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)"
335,SH.STA.AIRP.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"
336,SH.STA.AIRP.FE.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)"
337,SH.STA.AIRP.MA.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)"
338,SH.STA.POIS.P5,"Mortality rate attributed to unintentional poisoning (per 100,000 population)"
339,SH.STA.POIS.P5.FE,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
340,SH.STA.POIS.P5.MA,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
341,SH.STA.WASH.P5,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)"
342,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)"
343,SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)"
344,SP.DYN.IMRT.IN,"Mortality rate, infant (per 1,000 live births)"
